postal_code,latitude,longitude,region_1_en,region_2_en,region_3_en,country_name,country_code,timezone,utc
BA1111,4.8949117,114.9483851,Brunei Muara,Kianggeh,Kampung Berangan,Brunei,BN,Asia/Brunei,UTC +8.0
BA1211,4.8855188,114.9491924,Brunei Muara,Kianggeh,Kampung Kianggeh,Brunei,BN,Asia/Brunei,UTC +8.0
BA1311,4.9054037,114.941142,Brunei Muara,Kianggeh,Kampung Tungkadeh,Brunei,BN,Asia/Brunei,UTC +8.0
BA1511,4.9017507,114.9313975,Brunei Muara,Kianggeh,Kampung Kumbang Pasang,Brunei,BN,Asia/Brunei,UTC +8.0
BA1779,4.8873875,114.9285077,Brunei Muara,Kianggeh,Kampung Parit,Brunei,BN,Asia/Brunei,UTC +8.0
BA1910,4.8906156,114.9346013,Brunei Muara,Kianggeh,Kampung Parit,Brunei,BN,Asia/Brunei,UTC +8.0
BA1912,4.8879477,114.9311291,Brunei Muara,Kianggeh,Kampung Parit,Brunei,BN,Asia/Brunei,UTC +8.0
BA2112,4.8806816,114.9222687,Brunei Muara,Kianggeh,Kampung Tumasek,Brunei,BN,Asia/Brunei,UTC +8.0
BA2313,4.9194325,114.9559608,Brunei Muara,Kianggeh,Lingkungan Diplomatik,Brunei,BN,Asia/Brunei,UTC +8.0
BA2511,4.9164661,114.9438388,Brunei Muara,Kianggeh,Kampung Melabau,Brunei,BN,Asia/Brunei,UTC +8.0
BB1114,4.9887293,114.9340357,Brunei Muara,Berakas A,Skim Tanah Kurnia Rakyat Jati Lambak Kiri,Brunei,BN,Asia/Brunei,UTC +8.0
BB1214,4.9896683,114.9539948,Brunei Muara,Berakas A,Kampung Lambak Kiri,Brunei,BN,Asia/Brunei,UTC +8.0
BB1314,4.9548644,114.9445175,Brunei Muara,Berakas A,Kampung Lambak A,Brunei,BN,Asia/Brunei,UTC +8.0
BB1414,5.0044336,114.9566716,Brunei Muara,Berakas A,Perkhemahan Berakas,Brunei,BN,Asia/Brunei,UTC +8.0
BB1514,4.9634004,114.9311643,Brunei Muara,Berakas A,Kampung Terunjing,Brunei,BN,Asia/Brunei,UTC +8.0
BB1714,4.9708767,114.9507634,Brunei Muara,Berakas A,Kampung Lambak B,Brunei,BN,Asia/Brunei,UTC +8.0
BB2114,4.9665018,114.932353,Brunei Muara,Berakas A,Kampung Terunjing,Brunei,BN,Asia/Brunei,UTC +8.0
BB2313,4.9470165,114.9579953,Brunei Muara,Berakas A,Kampung Serusop,Brunei,BN,Asia/Brunei,UTC +8.0
BB2314,4.9493351,114.9532227,Brunei Muara,Berakas A,Kampung Serusop,Brunei,BN,Asia/Brunei,UTC +8.0
BB2513,4.9500361,114.9181942,Brunei Muara,Berakas A,Lapangan Terbang Antarabangsa Brunei,Brunei,BN,Asia/Brunei,UTC +8.0
BB2713,4.9368131,114.937592,Brunei Muara,Berakas A,Kampung Jaya Setia,Brunei,BN,Asia/Brunei,UTC +8.0
BB3113,4.9290897,114.9318418,Brunei Muara,Berakas A,Kampung Jaya Bakti,Brunei,BN,Asia/Brunei,UTC +8.0
BB3313,4.92925,114.9281051,Brunei Muara,Berakas A,Kampung Burong Pingai Berakas,Brunei,BN,Asia/Brunei,UTC +8.0
BB3510,4.9279641,114.9399165,Brunei Muara,Berakas A,Kawasan Jabatan-Jabatan dan Perumahan Kerajaan,Brunei,BN,Asia/Brunei,UTC +8.0
BB3577,4.8929945,114.8999119,Brunei Muara,Gadong B,Kampung Beribi,Brunei,BN,Asia/Brunei,UTC +8.0
BB3713,4.9365606,114.9506757,Brunei Muara,Berakas A,Kampung Anggerek Desa,Brunei,BN,Asia/Brunei,UTC +8.0
BB3910,5.0287511,115.0638003,Brunei Muara,Serasa,Pekan Muara,Brunei,BN,Asia/Brunei,UTC +8.0
BB4113,4.9374675,114.9559255,Brunei Muara,Berakas A,Kampung Orang Kaya Besar Imas,Brunei,BN,Asia/Brunei,UTC +8.0
BB4313,4.9303187,114.9548148,Brunei Muara,Berakas A,Kampung Pulaie,Brunei,BN,Asia/Brunei,UTC +8.0
BB4513,4.9408118,114.9468924,Brunei Muara,Berakas A,Kampung Pancha Delima,Brunei,BN,Asia/Brunei,UTC +8.0
BB5113,4.9432296,114.9554874,Brunei Muara,Berakas A,Kampung Pengiran Siraja Muda Delima Satu,Brunei,BN,Asia/Brunei,UTC +8.0
BC1515,4.9761282,114.9984411,Brunei Muara,Berakas B,Kampung Salambigar,Brunei,BN,Asia/Brunei,UTC +8.0
BC1715,4.9764896,114.9825326,Brunei Muara,Berakas B,Kampung Sungai Orok,Brunei,BN,Asia/Brunei,UTC +8.0
BC2115,4.9655289,114.9823557,Brunei Muara,Berakas B,Kampung Sungai Hanching,Brunei,BN,Asia/Brunei,UTC +8.0
BC2315,4.9744949,114.9721709,Brunei Muara,Berakas B,Perumahan Negara Lambak Kanan Kawasan 1,Brunei,BN,Asia/Brunei,UTC +8.0
BC2515,4.984085,114.9691007,Brunei Muara,Berakas B,Perumahan Negara Lambak Kanan Kawasan 2,Brunei,BN,Asia/Brunei,UTC +8.0
BC2517,4.9474209,115.0194692,Brunei Muara,Kota Batu,Kampung Sungai Besar,Brunei,BN,Asia/Brunei,UTC +8.0
BC2715,4.9613645,114.9598919,Brunei Muara,Berakas B,Perumahan Negara Lambak Kanan Kawasan 3,Brunei,BN,Asia/Brunei,UTC +8.0
BC2915,4.9685685,114.9587081,Brunei Muara,Berakas B,Perumahan Negara Lambak Kanan Kawasan 4,Brunei,BN,Asia/Brunei,UTC +8.0
BC3115,4.9779074,114.9626737,Brunei Muara,Berakas B,Perumahan Negara Lambak Kanan Kawasan 5,Brunei,BN,Asia/Brunei,UTC +8.0
BC3315,4.9491259,114.9785943,Brunei Muara,Berakas B,Kampung Sungai Tilong,Brunei,BN,Asia/Brunei,UTC +8.0
BC3615,4.9529782,114.9633842,Brunei Muara,Berakas B,Kampung Manggis,Brunei,BN,Asia/Brunei,UTC +8.0
BC3715,4.9542283,114.9521086,Brunei Muara,Berakas B,Kampung Madang,Brunei,BN,Asia/Brunei,UTC +8.0
BC4115,4.9366564,114.9656639,Brunei Muara,Berakas B,Kampung Sungai Akar,Brunei,BN,Asia/Brunei,UTC +8.0
BD1510,4.8835739,114.9695759,Brunei Muara,Kota Batu,Kampung Kota Batu,Brunei,BN,Asia/Brunei,UTC +8.0
BD1517,4.8812923,114.9625599,Brunei Muara,Kota Batu,Kampung Kota Batu,Brunei,BN,Asia/Brunei,UTC +8.0
BD1717,4.8963837,114.9819369,Brunei Muara,Kota Batu,Kampung Dato Gandi,Brunei,BN,Asia/Brunei,UTC +8.0
BD1917,4.9006262,114.9868531,Brunei Muara,Kota Batu,Kampung Sungai Matan,Brunei,BN,Asia/Brunei,UTC +8.0
BD1929,4.971565,115.02112,Brunei Muara,Mentiri,Kampung Mentiri,Brunei,BN,Asia/Brunei,UTC +8.0
BD2117,4.9051819,114.9919777,Brunei Muara,Kota Batu,Kampung Serdang,Brunei,BN,Asia/Brunei,UTC +8.0
BD2317,4.8894941,114.973256,Brunei Muara,Kota Batu,Kampung Pelambaian,Brunei,BN,Asia/Brunei,UTC +8.0
BD2517,4.9418004,115.0190105,Brunei Muara,Kota Batu,Kampung Sungai Besar,Brunei,BN,Asia/Brunei,UTC +8.0
BD2710,4.9207888,114.9912629,Brunei Muara,Kota Batu,Kampung Belimbing,Brunei,BN,Asia/Brunei,UTC +8.0
BD2717,4.9002411,114.9665086,Brunei Muara,Kota Batu,Kampung Subok,Brunei,BN,Asia/Brunei,UTC +8.0
BD2917,4.9189624,114.9849643,Brunei Muara,Kota Batu,Kampung Belimbing,Brunei,BN,Asia/Brunei,UTC +8.0
BD3117,4.9085183,115.0178915,Brunei Muara,Kota Batu,Kampung Tanjong Kindana,Brunei,BN,Asia/Brunei,UTC +8.0
BD3517,4.8966352,115.0069175,Brunei Muara,Kota Batu,Kampung Pudak,Brunei,BN,Asia/Brunei,UTC +8.0
BD4117,4.849535,114.9812808,Brunei Muara,Kota Batu,Kampung Riong,Brunei,BN,Asia/Brunei,UTC +8.0
BD4317,4.8643034,114.9596814,Brunei Muara,Kota Batu,Kampung Menunggul,Brunei,BN,Asia/Brunei,UTC +8.0
BD4517,4.889792,115.0429964,Brunei Muara,Kota Batu,Pulau Berbunut,Brunei,BN,Asia/Brunei,UTC +8.0
BE1118,4.8853552,114.9016098,Brunei Muara,Gadong B,Kampung Beribi,Brunei,BN,Asia/Brunei,UTC +8.0
BE1310,4.9079932,114.9139527,Brunei Muara,Gadong B,Kampung Pengkalan Gadong,Brunei,BN,Asia/Brunei,UTC +8.0
BE1313,4.8956019,114.9109562,Brunei Muara,Gadong B,Kampung Beribi,Brunei,BN,Asia/Brunei,UTC +8.0
BE1318,4.9019457,114.9201954,Brunei Muara,Gadong B,Kampung Kiarong,Brunei,BN,Asia/Brunei,UTC +8.0
BE1518,4.8960795,114.9278195,Brunei Muara,Gadong B,Kampung Kiulap,Brunei,BN,Asia/Brunei,UTC +8.0
BE1718,4.9026893,114.8958056,Brunei Muara,Gadong B,Kampung Mata-Mata,Brunei,BN,Asia/Brunei,UTC +8.0
BE1918,4.9013409,114.8857664,Brunei Muara,Gadong B,Kampung Perpindahan Mata-Mata,Brunei,BN,Asia/Brunei,UTC +8.0
BE2119,4.9522299,114.8809023,Brunei Muara,Gadong A,Kampung Tungku,Brunei,BN,Asia/Brunei,UTC +8.0
BE2319,4.914775,114.8806,Brunei Muara,Gadong A,Kampung Katok,Brunei,BN,Asia/Brunei,UTC +8.0
BE2719,4.927083,114.8858752,Brunei Muara,Gadong A,Skim Tanah Kurnia Rakyat Jati Tungku Kawasan 2,Brunei,BN,Asia/Brunei,UTC +8.0
BE2919,4.9227012,114.8831554,Brunei Muara,Gadong A,Skim Tanah Kurnia Rakyat Jati Tungku Kawasan 3,Brunei,BN,Asia/Brunei,UTC +8.0
BE3119,4.9461538,114.8944945,Brunei Muara,Gadong A,Kampung Rimba,Brunei,BN,Asia/Brunei,UTC +8.0
BE3319,4.9602016,114.8990377,Brunei Muara,Gadong A,Perumahan Negara Rimba Kawasan 1,Brunei,BN,Asia/Brunei,UTC +8.0
BE3519,4.9647976,114.9198825,Brunei Muara,Gadong A,Perumahan Negara Rimba Kawasan 3,Brunei,BN,Asia/Brunei,UTC +8.0
BE3619,4.9507745,114.9152488,Brunei Muara,Gadong A,Perumahan Negara Rimba Kawasan 4,Brunei,BN,Asia/Brunei,UTC +8.0
BE3719,4.917198,114.913538,Brunei Muara,Gadong B,Kampung Pengkalan Gadong,Brunei,BN,Asia/Brunei,UTC +8.0
BE3919,4.9194344,114.9241028,Brunei Muara,Gadong B,Kampung Menglait,Brunei,BN,Asia/Brunei,UTC +8.0
BE3978,4.906816,114.916134,Brunei Muara,Gadong B,Kampung Pengkalan Gadong,Brunei,BN,Asia/Brunei,UTC +8.0
BE4119,4.9136517,114.9244673,Brunei Muara,Gadong B,Kampung Menglait,Brunei,BN,Asia/Brunei,UTC +8.0
BF1120,4.8551255,114.8957358,Brunei Muara,Kilanas,Kampung Madewa,Brunei,BN,Asia/Brunei,UTC +8.0
BF1320,4.8517352,114.8772129,Brunei Muara,Kilanas,Kampung Bunut,Brunei,BN,Asia/Brunei,UTC +8.0
BF1520,4.8626378,114.8847156,Brunei Muara,Kilanas,Kampung Tasek Meradun,Brunei,BN,Asia/Brunei,UTC +8.0
BF1720,4.8274853,114.8656166,Brunei Muara,Kilanas,Kampung Burong Lepas,Brunei,BN,Asia/Brunei,UTC +8.0
BF1920,4.8451855,114.875937,Brunei Muara,Kilanas,Kampung Bengkurong,Brunei,BN,Asia/Brunei,UTC +8.0
BF2120,4.8363211,114.8756166,Brunei Muara,Kilanas,Kampung Sinarubai,Brunei,BN,Asia/Brunei,UTC +8.0
BF2520,4.8673171,114.8660529,Brunei Muara,Kilanas,Kampung Kilanas,Brunei,BN,Asia/Brunei,UTC +8.0
BF2720,4.881755,114.8737029,Brunei Muara,Kilanas,Kampung Jangsak,Brunei,BN,Asia/Brunei,UTC +8.0
BF2920,4.8930658,114.8583731,Brunei Muara,Kilanas,Kampung Tanjong Bunut,Brunei,BN,Asia/Brunei,UTC +8.0
BG1121,4.8972437,114.8322503,Brunei Muara,Sengkurong,Kampung Sengkurong A,Brunei,BN,Asia/Brunei,UTC +8.0
BG1221,4.8845471,114.8494575,Brunei Muara,Sengkurong,Kampung Pasai,Brunei,BN,Asia/Brunei,UTC +8.0
BG1321,4.9098737,114.8393313,Brunei Muara,Sengkurong,Kampung Sengkurong B,Brunei,BN,Asia/Brunei,UTC +8.0
BG1521,4.910608,114.844697,Brunei Muara,Sengkurong,Kampung Tagap,Brunei,BN,Asia/Brunei,UTC +8.0
BG1721,4.9077507,114.8545017,Brunei Muara,Sengkurong,Kampung Selayun,Brunei,BN,Asia/Brunei,UTC +8.0
BG2121,4.8676682,114.8434959,Brunei Muara,Sengkurong,Kampung Mulaut,Brunei,BN,Asia/Brunei,UTC +8.0
BG2321,4.8741234,114.8263886,Brunei Muara,Sengkurong,Kampung Tanjong Nangka,Brunei,BN,Asia/Brunei,UTC +8.0
BG2521,4.8527364,114.8213159,Brunei Muara,Sengkurong,Kampung Kulapis,Brunei,BN,Asia/Brunei,UTC +8.0
BG2721,4.8532268,114.8097835,Brunei Muara,Sengkurong,Kampung Katimahar,Brunei,BN,Asia/Brunei,UTC +8.0
BG2921,4.8892324,114.8023569,Brunei Muara,Sengkurong,Kampung Lugu,Brunei,BN,Asia/Brunei,UTC +8.0
BG3122,4.9282197,114.8233097,Brunei Muara,Sengkurong,Kampung Jerudong,Brunei,BN,Asia/Brunei,UTC +8.0
BH1123,4.795957,114.8310151,Brunei Muara,Pangkalan Batu,Kampung Pangkalan Batu,Brunei,BN,Asia/Brunei,UTC +8.0
