postal_code,latitude,longitude,region_1_en,region_2_en,region_3_en,country_en,country_code,timezone,utc
600,-36.9182,174.7002,Blockhouse Bay,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
602,-36.8982,174.6602,Kelston,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
604,-36.9983,174.5667,Huia,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
610,-36.8647,174.6477,Te Atatu South,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
612,-36.8882,174.6102,McLaren Park,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
614,-36.8667,174.5833,Swanson,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
618,-36.8,174.6667,Hobsonville,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
620,-36.7645,174.7477,Forrest Hill,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
622,-36.8075,174.7864,Belmont,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
624,-36.8282,174.7902,Devonport,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
626,-36.8184,174.7098,Chatswood,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
627,-36.8,174.75,North Shore,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
629,-36.7782,174.7202,Marlborough,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
630,-36.7193,174.7367,Browns Bay,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
632,-36.7667,174.6833,Greenhithe,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
640,-36.9069,174.687,New Lynn,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
641,-36.9167,174.65,Glen Eden,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
642,-36.9375,174.6558,Titirangi,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
643,-36.931,174.6749,Green Bay,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
644,-36.9182,174.7002,Blockhouse Bay,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
645,-36.8882,174.6402,Glendene,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
650,-36.8882,174.6302,Sunnyvale,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
651,-36.8333,174.65,Te Atatu,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
652,-36.8647,174.6477,Te Atatu South,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
653,-36.8667,174.5833,Swanson,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
654,-36.8647,174.6477,Te Atatu South,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
655,-36.8667,174.5833,Swanson,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
656,-36.8282,174.6202,Massey East,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
657,-36.8182,174.6102,West Harbour,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
660,-36.8513,174.5448,Waitakere,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
661,-36.841,174.6522,Te Atatu Peninsula,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
662,-36.7833,174.6,Brighams Creek,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
663,-36.8282,174.6202,Massey East,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
740,-36.7996,174.778,Hauraki,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
741,-36.7716,174.7659,Milford,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
742,-36.696,174.7512,Torbay,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
743,-36.7645,174.7477,Forrest Hill,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
744,-36.7775,174.7399,Devonport,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
745,-36.7826,174.7211,Glenfield,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
746,-36.8082,174.7202,Birkenhead,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
747,-36.7782,174.7202,Marlborough,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
748,-36.8,174.75,North Shore,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
749,-36.7972,174.7046,Birkdale,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
750,-36.7917,174.7758,Takapuna,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
751,-36.7826,174.7211,Glenfield,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
752,-36.7167,174.7,Albany,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
753,-36.7193,174.7367,Browns Bay,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
754,-36.7381,174.752,Mairangi Bay,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
755,-36.7167,174.7,Albany,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
756,-36.7667,174.6667,Paremoremo,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
757,-36.7645,174.7477,Forrest Hill,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
758,-36.7381,174.752,Mairangi Bay,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
772,-36.9833,174.4833,Karekare,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
781,-36.95,174.4667,Piha,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
782,-36.8513,174.5448,Waitakere,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
792,-36.6833,174.7,Red Vale,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
793,-36.7167,174.65,Coatesville,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
794,-36.6667,174.65,Dairy Flat,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
800,-36.6782,174.4502,Helensville,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
810,-36.7667,174.55,Huapai,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
812,-36.75,174.5,Waimauku,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
814,-36.8182,174.6102,West Harbour,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
820,-36.75,174.6,Riverhead,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
830,-36.65,174.4333,Parakai,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
840,-36.6782,174.4502,Helensville,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
841,-36.7667,174.55,Huapai,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
842,-36.7833,174.4833,Pahitoa,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
843,-36.6167,174.5,Kaukapakapa,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
871,-36.6167,174.5,Kaukapakapa,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
873,-36.5833,174.6,Parakakau,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
874,-36.65,174.4,Parkhurst,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
875,-36.6782,174.4502,Helensville,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
881,-36.75,174.4333,Woodhill,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
882,-36.75,174.5,Waimauku,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
883,-36.7833,174.4833,Pahitoa,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
891,-36.7667,174.55,Huapai,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
892,-36.7667,174.5667,Kumeu,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
900,-36.2833,174.5167,Wellsford,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
910,-36.4,174.6667,Warkworth,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
920,-36.2833,174.8167,Leigh,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
930,-36.6333,174.7667,Whangaparaoa,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
931,-36.5667,174.7,Orewa,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
932,-36.6124,174.6887,Red Beach,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
940,-36.2833,174.5167,Wellsford,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
941,-36.4,174.6667,Warkworth,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
942,-36.4082,174.7202,Snells Beach,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
943,-36.6333,174.7667,Whangaparaoa,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
944,-36.6187,174.6776,Silverdale,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
945,-36.6124,174.6887,Red Beach,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
946,-36.5667,174.7,Orewa,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
947,-36.2833,174.8167,Leigh,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
948,-36.35,174.7167,Matakana,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
950,-36.55,174.7167,Waiwera,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
951,-36.5035,174.6676,Puhoi,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
960,-36.15,175.4167,Okiwi,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
961,-36.2667,175.4333,Okupu,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
962,-36.3014,175.4893,Tryphena,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
963,-36.1667,175.35,Port Fitzroy,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
972,-36.3333,174.5667,Wayby,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
973,-36.3167,174.4167,Wharehine,Auckland,North Island,New Zealand,NZ,Pacific/Auckland,UTC+12.0
